,ID,Amount_Requested,Amount_Funded_By_Investors,Interest_Rate,Loan_Length,Loan_Purpose,Debt_To_Income_Ratio,Home_Ownership,Monthly_Income,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,Employment_Length
71,48319.0,7500,7500.0,0.09,36,debt_consolidation,0.1,RENT,5500.0,9,2382,0,6
72,5367.0,17000,16875.0,0.12,36,debt_consolidation,0.13,RENT,4583.33,5,3644,1,6
73,83768.0,12000,12000.0,0.17,36,credit_card,0.15,OWN,4583.33,12,9145,1,10
74,88084.0,6000,6000.0,0.15,36,other,0.16,RENT,3833.33,11,5760,1,10
75,101540.0,6725,825.0,0.13,36,debt_consolidation,0.13,MORTGAGE,5000.0,10,5513,9,10
76,9664.0,4500,4500.0,0.07,36,debt_consolidation,0.15,MORTGAGE,2666.67,7,2705,0,7
77,1494.0,1600,1600.0,0.11,36,other,0.05,RENT,2427.0,5,7020,0,3
78,61703.0,10000,10000.0,0.18,36,other,0.3,OWN,2500.0,5,8379,0,8
79,61576.0,18550,18525.0,0.08,36,debt_consolidation,0.17,MORTGAGE,5416.67,10,28877,0,3
80,21993.0,7450,7450.0,0.13,36,debt_consolidation,0.03,MORTGAGE,5883.33,2,6416,1,10
81,58359.0,3225,3225.0,0.08,36,debt_consolidation,0.18,MORTGAGE,5833.33,5,70323,1,10
82,67335.0,23675,23675.0,0.18,36,credit_card,0.3,OWN,6399.0,21,21920,0,10
83,57080.0,12000,12000.0,0.12,36,debt_consolidation,0.19,RENT,5833.33,16,18838,0,10
84,30035.0,25000,25000.0,0.16,36,debt_consolidation,0.18,RENT,6000.0,9,10630,2,7
85,103948.0,16000,15850.0,0.11,36,credit_card,0.18,MORTGAGE,6666.67,7,18659,4,5
86,96659.0,4200,4175.0,0.09,36,other,0.1,MORTGAGE,3041.67,4,1548,0,10
87,67158.0,10000,10000.0,0.14,36,debt_consolidation,0.21,RENT,4583.33,11,8548,0,6
88,33777.0,6000,212.0,0.08,36,house,0.03,MORTGAGE,4800.0,4,1442,0,10
89,59724.0,6000,6000.0,0.13,36,debt_consolidation,0.15,RENT,3333.33,7,12503,2,2
90,95096.0,7925,7925.0,0.16,36,debt_consolidation,0.21,RENT,2000.0,6,7840,0,6
91,67629.0,16000,15925.0,0.08,36,debt_consolidation,0.06,MORTGAGE,6000.0,8,19539,0,
92,51929.0,9525,9500.0,0.16,36,small_business,0.11,RENT,2666.67,15,5610,1,
93,13216.0,6000,6000.0,0.14,36,debt_consolidation,0.14,MORTGAGE,2500.0,9,3621,3,1
94,103405.0,10000,9975.0,0.15,36,debt_consolidation,0.12,MORTGAGE,5250.0,4,3035,5,2
95,53271.0,7000,7000.0,0.07,36,major_purchase,0.08,MORTGAGE,10000.0,9,6761,1,6
96,25380.0,4500,4500.0,0.06,36,debt_consolidation,0.18,MORTGAGE,10000.0,18,17863,3,6
97,6987.0,12000,12000.0,0.11,36,debt_consolidation,0.02,MORTGAGE,12500.0,13,10944,0,5
98,96413.0,10375,10375.0,0.2,36,debt_consolidation,0.05,RENT,4166.67,9,6122,1,5
99,88273.0,4800,4800.0,0.19,36,other,0.11,MORTGAGE,5833.33,4,17943,0,10
100,48519.0,6400,6400.0,0.13,36,credit_card,0.11,MORTGAGE,4666.67,7,8942,1,10
101,69456.0,5000,5000.0,0.08,36,debt_consolidation,0.17,OWN,4000.0,10,6023,0,10
102,41198.0,12000,12000.0,0.07,36,credit_card,0.22,RENT,5250.0,11,20639,0,1
103,44282.0,23850,23820.25,0.21,60,other,0.19,MORTGAGE,4250.0,23,37251,0,4
104,34122.0,15000,15000.0,0.11,36,small_business,0.16,MORTGAGE,7083.33,14,338,2,9
105,84563.0,8000,8000.0,0.08,36,other,0.0,MORTGAGE,3500.0,7,0,1,
106,98634.0,20000,20000.0,0.06,36,credit_card,0.19,MORTGAGE,14583.33,9,29044,0,7
107,73526.0,20000,19975.0,0.13,36,debt_consolidation,0.15,RENT,8233.33,17,29756,2,1
108,82476.0,10000,10000.0,0.14,36,debt_consolidation,0.11,RENT,2916.67,9,10390,3,1
109,67263.0,18825,18825.0,0.14,36,credit_card,0.13,RENT,4000.0,6,20694,1,4
110,41267.0,35000,34975.0,0.08,36,small_business,0.02,RENT,18333.33,10,1992,0,1
111,64884.0,9000,9000.0,0.06,36,other,0.06,MORTGAGE,9583.33,11,675,0,
112,18452.0,4000,4000.0,0.06,36,house,0.15,RENT,4234.0,5,587,1,2
113,57866.0,5750,5750.0,0.14,36,credit_card,0.12,RENT,5000.0,13,12465,0,10
114,77151.0,20950,20950.0,0.16,36,debt_consolidation,0.16,MORTGAGE,12916.67,8,30188,1,4
115,25405.0,8000,8000.0,0.11,36,credit_card,0.15,RENT,7500.0,9,7120,2,1
116,85644.0,10000,10000.0,0.1,36,debt_consolidation,0.09,MORTGAGE,3333.33,8,8940,2,
117,85686.0,10000,10000.0,0.14,36,small_business,0.15,RENT,5000.0,7,4762,0,4
118,54649.0,14000,14000.0,0.06,36,credit_card,0.2,MORTGAGE,6000.0,13,4140,0,8
119,19069.0,5000,5000.0,0.08,36,credit_card,0.03,RENT,9000.0,3,12297,0,10
120,74479.0,25000,25000.0,0.19,60,debt_consolidation,0.11,MORTGAGE,6250.0,8,15159,1,9
121,76693.0,35000,35000.0,0.09,36,debt_consolidation,0.15,RENT,10416.67,9,21321,0,10
122,63266.0,7200,7175.0,0.11,36,debt_consolidation,0.28,MORTGAGE,3750.0,8,20342,0,10
123,32008.0,14000,14000.0,0.08,60,debt_consolidation,0.1,MORTGAGE,9000.0,17,23773,0,4
124,13996.0,15000,14975.0,0.15,36,debt_consolidation,0.19,RENT,5132.0,4,34044,1,3
125,80638.0,25000,25000.0,0.2,60,debt_consolidation,0.32,OWN,4916.67,21,35208,1,7
126,36889.0,10800,10800.0,0.15,36,debt_consolidation,0.08,RENT,9583.33,6,6487,1,1
127,72169.0,20000,20000.0,0.14,36,credit_card,0.21,MORTGAGE,6250.0,9,14268,1,9
128,19548.0,4000,4000.0,0.11,36,debt_consolidation,0.02,RENT,2900.0,13,1869,1,
129,103357.0,16000,15950.0,0.16,36,debt_consolidation,0.24,MORTGAGE,9333.33,20,12721,5,10
130,59117.0,1400,1400.0,0.1,36,other,0.27,MORTGAGE,4683.33,6,6466,0,2
131,15427.0,7500,7500.0,0.16,36,debt_consolidation,0.13,MORTGAGE,4600.0,3,6120,0,2
132,224.0,24625,917.28,0.14,36,credit_card,0.13,MORTGAGE,10000.0,14,33698,0,8
133,85618.0,5000,5000.0,0.14,36,debt_consolidation,0.29,MORTGAGE,5416.67,11,3977,1,1
134,43436.0,25000,24975.0,0.1,36,debt_consolidation,0.2,RENT,7916.67,14,27203,0,1
135,19328.0,7500,7500.0,0.16,36,debt_consolidation,0.13,RENT,4166.67,8,7430,0,1
136,65134.0,34500,34450.0,0.07,36,small_business,0.16,MORTGAGE,10000.0,4,5317,0,9
137,20263.0,10000,10000.0,0.06,36,debt_consolidation,0.06,MORTGAGE,12500.0,17,75629,0,1
138,9194.0,3200,3200.0,0.1,36,debt_consolidation,0.07,RENT,4500.0,7,3198,0,5
139,27520.0,5500,5500.0,0.16,60,debt_consolidation,0.18,RENT,4250.0,16,13256,0,10
140,45941.0,3000,3000.0,0.1,36,debt_consolidation,0.22,OWN,1100.0,4,2413,0,
141,69242.0,18000,18000.0,0.23,60,debt_consolidation,0.09,RENT,7083.33,6,13106,0,10
142,2633.0,10000,9700.0,0.1,36,debt_consolidation,0.14,MORTGAGE,4190.0,6,1251,1,1
143,48662.0,8800,8800.0,0.13,36,credit_card,0.17,RENT,3150.25,13,14266,1,4
144,65775.0,7000,7000.0,0.11,36,debt_consolidation,0.23,MORTGAGE,6000.0,17,19634,2,6
145,92773.0,8000,8000.0,0.13,36,debt_consolidation,0.19,RENT,2625.0,8,7554,1,5
146,33161.0,3000,3000.0,0.17,36,credit_card,0.17,RENT,3833.33,4,4136,0,
147,37985.0,12000,11975.0,0.08,36,debt_consolidation,0.12,RENT,7500.0,18,33702,1,10
148,2791.0,3600,3575.0,0.14,36,small_business,0.0,RENT,2500.0,4,1,0,3
149,81950.0,11625,11625.0,0.14,36,debt_consolidation,0.23,MORTGAGE,2833.33,6,27411,2,8
150,84215.0,30000,30000.0,0.21,36,credit_card,0.17,MORTGAGE,12500.0,14,19096,2,9
151,93352.0,16000,16000.0,0.09,36,debt_consolidation,0.2,RENT,7083.33,11,6185,1,4
152,10474.0,10800,10700.0,0.11,36,major_purchase,0.15,MORTGAGE,8400.0,6,24675,0,10
153,15717.0,25000,23655.48,0.17,60,debt_consolidation,0.14,MORTGAGE,7666.67,15,28748,3,8
154,103874.0,10000,10000.0,0.14,60,other,0.15,RENT,3916.67,9,5188,4,4
155,132.0,12375,275.0,0.11,36,small_business,0.16,MORTGAGE,3892.75,11,8332,2,3
156,5169.0,6000,6000.0,0.11,36,credit_card,0.18,MORTGAGE,5031.67,9,50935,0,10
157,29812.0,8000,8000.0,0.13,36,debt_consolidation,0.15,RENT,5000.0,18,4786,1,2
158,56991.0,15000,15000.0,0.18,36,credit_card,0.1,MORTGAGE,5000.0,11,14596,0,8
159,62537.0,7000,7000.0,0.18,36,other,0.32,RENT,3333.33,12,35604,3,7
160,22858.0,8400,8400.0,0.07,36,other,0.13,RENT,3000.0,9,6998,1,1
161,78602.0,15000,15000.0,0.08,36,debt_consolidation,0.19,MORTGAGE,4500.0,10,17212,0,7
162,93778.0,15000,14925.0,0.14,36,debt_consolidation,0.13,RENT,5000.0,7,11368,1,1
163,87504.0,2800,2800.0,0.1,36,major_purchase,0.12,RENT,2083.33,7,7261,0,1
164,92105.0,7750,7750.0,0.16,36,debt_consolidation,0.27,MORTGAGE,2916.67,18,17102,0,5
165,59387.0,4500,4500.0,0.09,36,credit_card,0.18,RENT,2166.67,8,5361,0,4
166,6067.0,17500,17375.0,0.13,36,debt_consolidation,0.22,RENT,3666.67,7,20010,0,6
167,62445.0,18000,18000.0,0.15,60,debt_consolidation,0.05,RENT,5258.5,6,11596,0,10
168,35834.0,15000,14975.0,0.15,60,debt_consolidation,0.18,MORTGAGE,2748.0,14,7956,1,6
169,24320.0,6000,6000.0,0.15,36,credit_card,0.2,OWN,4583.33,13,8077,1,1
170,68821.0,11500,11475.0,0.11,36,credit_card,0.28,RENT,2750.0,6,9079,0,5
171,96988.0,10000,10000.0,0.13,36,credit_card,0.08,RENT,2500.0,8,10906,0,7
172,47002.0,12000,12000.0,0.09,36,credit_card,0.12,RENT,5000.0,5,13940,0,10
173,53897.0,10000,10000.0,0.12,36,debt_consolidation,0.18,MORTGAGE,5000.0,7,13202,0,10
174,40136.0,35000,34975.0,0.21,60,debt_consolidation,0.18,RENT,7916.67,8,19789,2,10
175,14952.0,7200,7100.0,0.1,60,major_purchase,0.18,RENT,3000.0,7,2753,1,2
176,40856.0,4000,3975.0,0.08,60,other,0.04,OWN,4000.0,16,6696,0,1
177,4938.0,5300,5200.0,0.11,36,debt_consolidation,0.08,MORTGAGE,8333.33,5,73258,1,3
178,59272.0,1200,1200.0,0.08,36,other,0.09,MORTGAGE,3833.33,14,350,1,7
179,80512.0,2500,2500.0,0.11,36,major_purchase,0.1,RENT,4333.33,4,4922,0,3
180,82071.0,17000,16975.0,0.14,36,debt_consolidation,0.26,OWN,7500.0,21,39130,3,10
181,90748.0,16000,16000.0,0.08,36,credit_card,0.12,MORTGAGE,8416.67,14,21913,1,5
182,42319.0,10000,9950.0,0.13,36,debt_consolidation,0.04,MORTGAGE,6666.67,8,7967,1,3
183,81914.0,5000,5000.0,0.1,36,debt_consolidation,0.25,MORTGAGE,6250.0,9,33705,0,6
184,97954.0,4375,4375.0,0.19,36,credit_card,0.09,RENT,2916.67,9,6944,2,6
185,41074.0,8500,8475.0,0.06,36,house,0.12,MORTGAGE,6100.0,17,6370,0,10
186,30600.0,12000,12000.0,0.17,60,small_business,0.15,MORTGAGE,7500.0,14,28589,2,3
187,4909.0,6200,6100.0,0.09,36,other,0.19,RENT,5000.0,17,9367,0,1
188,63340.0,7000,7000.0,0.18,36,debt_consolidation,0.19,MORTGAGE,2000.0,10,7315,2,1
189,35313.0,20800,20800.0,0.13,60,debt_consolidation,0.07,MORTGAGE,6541.67,9,13197,0,1
190,45225.0,19200,19200.0,0.13,60,other,0.03,MORTGAGE,8333.33,14,50625,3,2
191,98090.0,22000,22000.0,0.16,60,debt_consolidation,0.21,MORTGAGE,5416.67,9,10267,1,10
192,71142.0,15000,15000.0,0.19,36,debt_consolidation,0.25,RENT,6000.0,12,12162,0,1
193,5282.0,7000,6965.1,0.19,36,debt_consolidation,0.17,RENT,5000.0,11,13859,0,3
194,52333.0,20000,20000.0,0.09,36,credit_card,0.17,RENT,4916.67,10,14952,2,4
195,15274.0,2000,2000.0,0.06,36,other,0.18,RENT,5733.58,9,21998,0,3
196,32037.0,18000,17738.58,0.11,60,major_purchase,0.15,MORTGAGE,4000.0,9,6718,0,10
197,6528.0,20800,20775.0,0.11,36,house,0.22,OWN,11666.67,6,682,1,10
198,10487.0,9000,8875.0,0.08,36,debt_consolidation,0.15,MORTGAGE,5708.33,9,12217,0,7
199,64690.0,6000,6000.0,0.14,36,credit_card,0.23,RENT,2666.67,18,5955,0,10
200,66605.0,5000,5000.0,0.16,36,debt_consolidation,0.34,RENT,3750.0,18,5414,3,3
201,18512.0,12000,11975.0,0.15,60,credit_card,0.22,RENT,4186.0,9,9398,0,3
202,1173.0,7000,1998.0,0.08,36,credit_card,0.06,MORTGAGE,7583.33,9,21135,0,10
203,22150.0,6000,5950.0,0.1,36,major_purchase,0.09,MORTGAGE,15416.67,9,105730,1,10
204,104008.0,17000,16975.0,0.14,36,debt_consolidation,0.18,MORTGAGE,9166.67,14,16230,4,3
205,4665.0,12000,11975.0,0.09,36,credit_card,0.19,RENT,4750.0,13,25577,1,4
206,43053.0,16350,16350.0,0.08,36,credit_card,0.25,OWN,4541.67,7,25731,0,9
207,59192.0,20000,20000.0,0.08,36,debt_consolidation,0.2,MORTGAGE,4625.0,14,31335,1,10
208,80538.0,12300,12300.0,0.12,36,debt_consolidation,0.1,RENT,6583.33,15,12450,0,1
209,78519.0,4800,4800.0,0.13,36,other,0.05,RENT,2666.67,3,7911,0,1
210,48236.0,14500,14500.0,0.08,36,credit_card,0.12,RENT,4500.0,8,16398,0,6
211,51833.0,4200,4200.0,0.09,36,debt_consolidation,0.1,MORTGAGE,2254.0,7,4490,0,
212,69446.0,22250,22250.0,0.14,36,credit_card,0.32,MORTGAGE,6583.33,18,44868,0,10
213,18161.0,8000,8000.0,0.14,36,house,0.08,RENT,25000.0,6,28579,1,8
214,78856.0,8325,8325.0,0.18,36,debt_consolidation,0.21,RENT,2000.0,7,7676,0,1
215,48412.0,14000,14000.0,0.13,36,debt_consolidation,0.08,OWN,10416.67,4,4776,0,7
216,60192.0,9000,9000.0,0.1,36,debt_consolidation,0.04,MORTGAGE,6000.0,6,5659,0,7
217,97275.0,16000,16000.0,0.13,36,credit_card,0.18,MORTGAGE,6083.33,13,15148,0,2
218,103218.0,15200,13694.22,0.11,36,credit_card,0.15,MORTGAGE,7916.67,7,217827,2,6
219,39722.0,24000,24000.0,0.11,36,debt_consolidation,0.15,RENT,3750.0,5,24708,0,10
220,54880.0,16450,16450.0,0.15,36,debt_consolidation,0.12,MORTGAGE,6666.67,8,12697,3,9
221,81508.0,7500,7500.0,0.12,36,house,0.27,MORTGAGE,5000.0,8,9047,1,10
222,98671.0,4750,4750.0,0.22,36,debt_consolidation,0.24,RENT,1333.33,9,4752,2,1
223,80765.0,6500,6500.0,0.08,36,debt_consolidation,0.13,RENT,6750.0,17,33229,0,8
224,103835.0,5500,5450.0,0.19,60,debt_consolidation,0.18,RENT,1750.0,6,4492,6,2
225,59041.0,9600,9600.0,0.06,36,house,0.08,MORTGAGE,6250.0,7,765,0,1
226,62747.0,12000,11975.0,0.12,36,major_purchase,0.31,OWN,4166.67,21,28703,2,3
227,34051.0,2000,2000.0,0.08,36,other,0.17,RENT,1500.0,5,2925,0,4
228,99360.0,18000,18000.0,0.25,60,other,0.15,RENT,4000.0,10,7377,3,8
229,79126.0,5825,5825.0,0.12,36,house,0.04,OWN,3750.0,4,5643,0,1
230,103249.0,2500,2500.0,0.15,36,house,0.23,RENT,2530.0,7,5276,6,1
231,43700.0,7200,7200.0,0.2,60,other,0.02,RENT,5500.0,13,2130,0,9
232,83155.0,8000,8000.0,0.14,36,other,0.12,RENT,3941.58,15,9660,0,2
233,16446.0,25000,24675.0,0.21,60,house,0.19,MORTGAGE,6000.0,17,12757,2,10
234,84110.0,2500,2500.0,0.14,36,Personal,0.21,RENT,2666.67,9,15787,0,
235,2807.0,20000,2050.0,0.13,36,house,0.01,MORTGAGE,3500.0,6,1954,5,2
236,94386.0,6250,6250.0,0.13,36,debt_consolidation,0.29,RENT,1779.17,19,7455,1,3
237,49074.0,12375,12375.0,0.14,36,debt_consolidation,0.22,MORTGAGE,2083.33,8,12226,0,3
238,88558.0,18000,18000.0,0.1,36,debt_consolidation,0.17,MORTGAGE,6666.67,16,19850,1,6
239,31714.0,3300,3300.0,0.07,36,other,0.2,RENT,3333.33,10,0,2,1
240,68991.0,21000,21000.0,0.18,60,other,0.16,MORTGAGE,8833.33,11,29293,0,1
241,75034.0,24575,24575.0,0.16,36,debt_consolidation,0.2,MORTGAGE,5250.0,8,20858,2,10
242,4532.0,5000,4900.0,0.08,36,other,0.14,RENT,5166.67,8,15489,1,10
243,67649.0,20000,20000.0,0.16,36,debt_consolidation,0.24,MORTGAGE,5833.33,14,12696,1,1
244,34983.0,13250,13250.0,0.07,36,debt_consolidation,0.29,MORTGAGE,5750.0,12,7174,3,8
245,4168.0,10000,9975.0,0.09,36,major_purchase,0.03,MORTGAGE,10167.0,9,16,3,10
246,13020.0,20000,19950.0,0.11,36,debt_consolidation,0.11,RENT,8416.67,10,12283,0,3
247,28402.0,10000,10000.0,0.08,36,debt_consolidation,0.14,MORTGAGE,4166.67,8,8455,0,10
248,82112.0,12000,12000.0,0.12,36,debt_consolidation,0.15,MORTGAGE,5000.0,11,13235,2,2
249,74368.0,8000,7950.0,0.08,36,house,0.13,MORTGAGE,3500.0,8,6834,2,5
250,5838.0,11000,10950.0,0.09,36,credit_card,0.22,MORTGAGE,4200.0,6,8694,4,7
251,24085.0,12500,12425.0,0.07,36,debt_consolidation,0.14,RENT,8237.5,15,13261,0,6
252,102519.0,7500,212.0,0.11,36,credit_card,0.11,MORTGAGE,3750.0,15,5148,7,6
253,85220.0,4825,4825.0,0.1,36,debt_consolidation,0.15,RENT,2400.0,14,6109,1,1
254,29422.0,7550,7550.0,0.17,36,other,0.22,RENT,2880.0,2,1989,1,8
255,12751.0,8000,7827.03,0.14,36,other,0.2,RENT,4000.0,7,2082,0,4
256,96028.0,6000,6000.0,0.14,36,debt_consolidation,0.16,RENT,5083.33,11,10373,0,4
257,104202.0,8000,8000.0,0.16,60,major_purchase,0.02,RENT,5291.67,4,1252,6,5
258,10096.0,3000,3000.0,0.15,36,debt_consolidation,0.24,MORTGAGE,5000.0,6,5527,1,5
259,51445.0,8000,7997.79,0.16,36,debt_consolidation,0.16,RENT,3750.0,8,7374,1,6
260,30184.0,8400,8400.0,0.06,36,credit_card,0.09,OWN,3000.0,6,6215,0,2
261,48402.0,35000,35000.0,0.15,36,Personal,0.12,MORTGAGE,14166.67,7,103354,0,8
262,50781.0,15000,15000.0,0.08,36,credit_card,0.22,OWN,5000.0,8,21555,0,2
263,8378.0,7500,7475.0,0.11,36,house,0.08,MORTGAGE,7083.33,9,2245,7,8
264,16672.0,24000,23665.54,0.1,60,debt_consolidation,0.17,RENT,7695.08,6,1502,0,9
265,56643.0,21000,20975.0,0.21,60,debt_consolidation,0.18,MORTGAGE,8083.33,11,31080,2,5
266,65889.0,6000,6000.0,0.08,36,debt_consolidation,0.09,RENT,8315.67,8,6239,0,2
267,18439.0,4500,4500.0,0.07,36,major_purchase,0.01,MORTGAGE,65000.0,7,3015,4,7
268,79217.0,29000,29000.0,0.18,36,debt_consolidation,0.16,RENT,7666.67,11,23319,0,2
269,83672.0,20000,20000.0,0.15,36,debt_consolidation,0.27,RENT,5250.0,11,11343,1,6
270,97016.0,7000,7000.0,0.1,36,debt_consolidation,0.11,MORTGAGE,4341.67,11,13638,0,7
